Source,Target,Weight,Type,Layer,timeset,Label
60,81,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,82,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
61,132,1.0,UPDATE,BETWEEN,"""<[26,35]>""",UPDATE
62,61,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
63,61,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
64,61,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
65,63,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
65,58,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
66,62,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
66,57,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
67,75,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
