n_F35,n_V22,n_AV8B,n_SH60,perc,w_fuel,w_veh
0,3,2,26,0.439363679,1578.32987,267.87
0,3,3,14,-0.420332555,1304.638088,178.01
0,3,3,15,-0.32279455,1337.83535,186.06
0,3,3,16,-0.225256546,1371.032611,194.11
0,3,3,17,-0.127718541,1404.229873,202.16
0,3,3,18,-0.030180537,1437.427134,210.21
0,3,3,19,0.067357468,1470.624396,218.26
0,3,3,20,0.164895473,1503.821657,226.31
0,3,3,21,0.262433477,1537.018919,234.36
0,3,3,22,0.359971482,1570.21618,242.41
0,3,3,23,0.457509486,1603.413442,250.46
0,3,4,10,-0.499724752,1296.524398,152.55
0,3,4,11,-0.402186747,1329.72166,160.6
0,3,4,12,-0.304648743,1362.918921,168.65
0,3,4,13,-0.207110738,1396.116183,176.7
0,3,4,14,-0.109572734,1429.313444,184.75
0,3,4,15,-0.012034729,1462.510706,192.8
0,3,4,16,0.085503275,1495.707967,200.85
0,3,4,17,0.18304128,1528.905229,208.9
0,3,4,18,0.280579284,1562.10249,216.95
0,3,4,19,0.378117289,1595.299752,225
0,3,4,20,0.475655293,1628.497013,233.05
0,3,5,7,-0.481578945,1321.60797,135.14
0,3,5,8,-0.38404094,1354.805231,143.19
0,3,5,9,-0.286502936,1388.002493,151.24
0,3,5,10,-0.188964931,1421.199754,159.29
0,3,5,11,-0.091426927,1454.397016,167.34
0,3,5,12,0.006111078,1487.594277,175.39
0,3,5,13,0.103649082,1520.791539,183.44
0,3,5,14,0.201187087,1553.9888,191.49
0,3,5,15,0.298725091,1587.186062,199.54
0,3,5,16,0.396263096,1620.383323,207.59
0,3,5,17,0.4938011,1653.580585,215.64
0,3,6,4,-0.463433138,1346.691541,117.73
0,3,6,5,-0.365895133,1379.888803,125.78
0,3,6,6,-0.268357129,1413.086064,133.83
0,3,6,7,-0.170819124,1446.283326,141.88
0,3,6,8,-0.07328112,1479.480587,149.93
0,3,6,9,0.024256885,1512.677849,157.98
0,3,6,10,0.121794889,1545.87511,166.03
0,3,6,11,0.219332894,1579.072372,174.08
0,3,6,12,0.316870898,1612.269633,182.13
0,3,6,13,0.414408903,1645.466895,190.18
0,3,7,1,-0.445287331,1371.775113,100.32
0,3,7,2,-0.347749326,1404.972374,108.37
0,3,7,3,-0.250211322,1438.169636,116.42
0,3,7,4,-0.152673317,1471.366897,124.47
0,3,7,5,-0.055135313,1504.564159,132.52
0,3,7,6,0.042402692,1537.76142,140.57
0,3,7,7,0.139940697,1570.958682,148.62
0,3,7,8,0.237478701,1604.155943,156.67
0,3,7,9,0.335016706,1637.353205,164.72
0,3,7,10,0.43255471,1670.550466,172.77
0,3,8,0,-0.232065514,1463.253207,99.01
0,3,8,1,-0.13452751,1496.450469,107.06
0,3,8,2,-0.036989505,1529.64773,115.11
0,3,8,3,0.060548499,1562.844992,123.16
0,3,8,4,0.158086504,1596.042253,131.21
0,3,8,5,0.255624508,1629.239515,139.26
0,3,8,6,0.353162513,1662.436776,147.31
0,3,8,7,0.450700517,1695.634038,155.36
0,3,9,0,0.078694306,1587.928563,105.75
0,3,9,1,0.176232311,1621.125825,113.8
0,3,9,2,0.273770315,1654.323086,121.85
0,3,9,3,0.37130832,1687.520348,129.9
0,3,9,4,0.468846324,1720.717609,137.95
0,3,10,0,0.389454127,1712.603919,112.49
0,3,10,1,0.486992131,1745.801181,120.54
0,4,0,19,-0.462179273,1251.881781,213.07
0,4,0,20,-0.364641268,1285.079042,221.12
0,4,0,21,-0.267103264,1318.276304,229.17
0,4,0,22,-0.169565259,1351.473565,237.22
0,4,0,23,-0.072027255,1384.670827,245.27
0,4,0,24,0.02551075,1417.868088,253.32
0,4,0,25,0.123048755,1451.06535,261.37
0,4,0,26,0.220586759,1484.262611,269.42
0,4,0,27,0.318124764,1517.459873,277.47
0,4,0,28,0.415662768,1550.657134,285.52
0,4,1,16,-0.444033465,1276.965352,195.66
0,4,1,17,-0.346495461,1310.162614,203.71
0,4,1,18,-0.248957456,1343.359875,211.76
0,4,1,19,-0.151419452,1376.557137,219.81
0,4,1,20,-0.053881447,1409.754398,227.86
0,4,1,21,0.043656557,1442.95166,235.91
0,4,1,22,0.141194562,1476.148921,243.96
0,4,1,23,0.238732566,1509.346183,252.01
0,4,1,24,0.336270571,1542.543444,260.06
0,4,1,25,0.433808575,1575.740706,268.11
